msg_id,price,mode,burst,fault,produce_time,consume_time,latency_ms,throughput_msg_per_sec,p95_latency_ms,p99_latency_ms
60,100.39,fault_injection,False,False,1776030868.2893984,1776030868.3078334,18.435,36.69,166.285,
61,100.42,fault_injection,True,False,1776030868.3097537,1776030868.3286521,18.898,36.83,165.279,
62,100.42,fault_injection,False,False,1776030868.3299348,1776030868.3493068,19.372,36.97,164.273,
63,100.42,fault_injection,False,False,1776030868.3500867,1776030868.3717957,21.709,37.07,163.268,
64,100.44,fault_injection,True,False,1776030868.3704424,1776030868.389263,18.821,37.27,162.262,
65,100.42,fault_injection,False,False,1776030868.390595,1776030868.4092395,18.645,37.42,161.256,
66,100.44,fault_injection,False,False,1776030868.4107416,1776030868.4287732,18.032,37.57,160.251,
67,100.15,fault_injection,True,False,1776030868.4308686,1776030868.449553,18.684,37.69,159.245,
68,100.22,fault_injection,False,False,1776030868.4509747,1776030868.470347,19.372,37.81,158.239,
69,100.21,fault_injection,False,False,1776030868.4710753,1776030868.4912817,20.206,37.92,157.233,
70,100.22,fault_injection,False,False,1776030868.4911826,1776030868.5099444,18.762,38.08,156.228,
71,100.2,fault_injection,False,False,1776030868.5112906,1776030868.5305393,19.249,38.19,155.222,
72,100.19,fault_injection,False,False,1776030868.5314033,1776030868.5496082,18.205,38.33,154.216,
73,100.21,fault_injection,False,False,1776030868.5515068,1776030868.5705254,19.019,38.44,153.211,
74,100.2,fault_injection,False,False,1776030868.571614,1776030868.5922916,20.678,38.52,152.205,
75,100.22,fault_injection,False,False,1776030868.5917208,1776030868.6106062,18.885,38.67,151.199,
76,99.52,fault_injection,False,False,1776030868.6118503,1776030868.6321177,20.267,38.75,150.193,
77,99.53,fault_injection,False,False,1776030868.6319814,1776030868.6522026,20.221,38.87,149.188,
78,99.57,fault_injection,False,False,1776030868.6521165,1776030868.6707175,18.601,39.0,148.182,
79,99.57,fault_injection,False,False,1776030868.672239,1776030868.6905158,18.277,39.12,147.176,
80,99.59,fault_injection,False,False,1776030868.6923528,1776030868.709953,17.6,39.23,146.171,
81,99.67,fault_injection,True,True,1776030868.7124617,1776030868.9317553,219.294,35.86,165.279,
82,99.66,fault_injection,False,False,1776030868.9328625,1776030868.9521396,19.277,35.98,164.273,
83,99.63,fault_injection,False,False,1776030868.9530091,1776030868.9713714,18.362,36.11,163.268,
84,99.6,fault_injection,False,False,1776030868.9731207,1776030868.9914181,18.297,36.23,162.262,
85,99.59,fault_injection,False,False,1776030868.9932275,1776030869.0116324,18.405,36.34,161.256,
86,99.6,fault_injection,False,False,1776030869.0133278,1776030869.03129,17.962,36.46,160.251,
87,99.58,fault_injection,False,False,1776030869.033427,1776030869.0526607,19.234,36.55,159.245,
88,100.55,fault_injection,False,False,1776030869.0535407,1776030869.0728984,19.358,36.66,158.239,
89,100.53,fault_injection,False,False,1776030869.0736578,1776030869.0925286,18.871,36.78,157.233,
90,100.5,fault_injection,False,False,1776030869.0937984,1776030869.1131935,19.395,36.87,156.228,
91,100.48,fault_injection,False,False,1776030869.1138878,1776030869.1331205,19.233,36.98,155.222,
92,100.49,fault_injection,False,False,1776030869.1340106,1776030869.1526165,18.606,37.09,154.216,
93,100.49,fault_injection,False,False,1776030869.1541266,1776030869.1730175,18.891,37.19,153.211,
94,100.49,fault_injection,False,False,1776030869.1742318,1776030869.1943223,20.091,37.27,152.205,
95,100.46,fault_injection,False,False,1776030869.1943893,1776030869.2130618,18.672,37.39,151.199,
96,100.47,fault_injection,False,False,1776030869.214573,1776030869.2340567,19.484,37.47,150.193,
97,100.5,fault_injection,False,False,1776030869.2347398,1776030869.2532947,18.555,37.58,149.188,
98,100.49,fault_injection,False,False,1776030869.2553835,1776030869.2742069,18.823,37.66,148.182,
99,100.47,fault_injection,False,False,1776030869.2755408,1776030869.2939556,18.415,37.75,147.176,222.003
100,100.5,fault_injection,False,False,1776030869.2957025,1776030869.3146577,18.955,37.84,146.171,221.065
101,100.48,fault_injection,False,False,1776030869.3158746,1776030869.3348372,18.963,37.92,145.205,221.061
102,100.49,fault_injection,False,False,1776030869.3360066,1776030869.3541677,18.161,38.02,144.24,221.056
103,100.47,fault_injection,False,False,1776030869.3561292,1776030869.374632,18.503,38.1,143.275,221.052
104,100.5,fault_injection,False,False,1776030869.3762677,1776030869.3949153,18.648,38.19,142.31,221.048
105,100.44,fault_injection,False,False,1776030869.3964083,1776030869.415718,19.31,38.26,141.345,221.043
106,100.45,fault_injection,False,False,1776030869.4165514,1776030869.4352252,18.674,38.35,140.38,221.039
107,100.41,fault_injection,False,False,1776030869.4366798,1776030869.4551208,18.441,38.44,139.415,221.034
108,100.6,fault_injection,True,False,1776030869.4567907,1776030869.4756246,18.834,38.51,138.449,221.03
109,100.61,fault_injection,False,False,1776030869.4768715,1776030869.4972873,20.416,38.57,137.484,221.026
110,100.41,fault_injection,True,False,1776030869.4969895,1776030869.514518,17.529,38.69,136.519,221.021
111,100.44,fault_injection,False,True,1776030869.517099,1776030869.7382305,221.132,36.21,155.222,221.124
112,100.42,fault_injection,False,False,1776030869.7374856,1776030869.7571442,19.659,36.31,154.216,221.124
113,100.42,fault_injection,False,False,1776030869.7575867,1776030869.775604,18.017,36.42,153.211,221.123
114,100.43,fault_injection,False,False,1776030869.7776968,1776030869.796605,18.908,36.49,152.205,221.122
115,100.4,fault_injection,False,False,1776030869.7978015,1776030869.8154964,17.695,36.59,151.199,221.122
116,100.45,fault_injection,False,False,1776030869.8179083,1776030869.8358717,17.963,36.67,150.193,221.121
117,100.45,fault_injection,False,False,1776030869.8380156,1776030869.8563917,18.376,36.75,149.188,221.12
118,100.46,fault_injection,False,False,1776030869.8581274,1776030869.8767,18.573,36.83,148.182,221.12
119,100.46,fault_injection,False,False,1776030869.8782322,1776030869.8956766,17.444,36.92,147.176,221.119
120,100.46,fault_injection,False,False,1776030869.89834,1776030869.9168627,18.523,36.99,146.171,221.118
121,100.44,fault_injection,False,False,1776030869.9184453,1776030869.9369543,18.509,37.06,145.205,221.118
122,100.46,fault_injection,False,False,1776030869.9385521,1776030869.9564908,17.939,37.15,144.24,221.117
123,100.44,fault_injection,False,False,1776030869.9586525,1776030869.9757822,17.13,37.23,143.275,221.116
124,100.46,fault_injection,False,False,1776030869.978758,1776030869.9974494,18.691,37.29,142.31,221.116
125,100.48,fault_injection,False,False,1776030869.9988701,1776030870.0171015,18.231,37.37,141.345,221.115
126,100.48,fault_injection,False,False,1776030870.018983,1776030870.036705,17.722,37.45,140.38,221.114
127,100.48,fault_injection,False,False,1776030870.039085,1776030870.0581212,19.036,37.51,139.415,221.114
128,100.46,fault_injection,False,False,1776030870.059197,1776030870.0774834,18.286,37.59,138.449,221.113
129,100.46,fault_injection,False,True,1776030870.0793047,1776030870.2981946,218.89,35.59,157.233,221.112
130,100.46,fault_injection,False,False,1776030870.2999153,1776030870.32031,20.395,35.65,156.228,221.112
131,100.47,fault_injection,False,False,1776030870.3201177,1776030870.337952,17.834,35.75,155.222,221.111
132,100.46,fault_injection,False,True,1776030870.340637,1776030870.561336,220.699,33.96,187.327,221.11
133,100.44,fault_injection,False,False,1776030870.561035,1776030870.580151,19.116,34.05,184.697,221.11
134,100.46,fault_injection,False,False,1776030870.5811543,1776030870.60219,21.036,34.12,182.066,221.109
135,100.43,fault_injection,False,False,1776030870.6012666,1776030870.6212626,19.996,34.21,179.436,221.108
136,100.45,fault_injection,False,False,1776030870.6213925,1776030870.6392412,17.849,34.3,176.806,221.108
137,100.45,fault_injection,False,False,1776030870.641502,1776030870.6586785,17.177,34.38,174.176,221.107
138,100.45,fault_injection,False,False,1776030870.6616118,1776030870.6811855,19.574,34.44,171.545,221.106
139,100.44,fault_injection,False,False,1776030870.681722,1776030870.6986206,16.899,34.54,168.915,221.106
140,100.43,fault_injection,False,False,1776030870.7018297,1776030870.7195623,17.733,34.61,166.285,221.105
141,100.43,fault_injection,False,False,1776030870.721947,1776030870.7411244,19.177,34.67,165.279,221.104
142,100.44,fault_injection,False,False,1776030870.7420557,1776030870.7606134,18.558,34.75,164.273,221.104
143,100.44,fault_injection,False,False,1776030870.76216,1776030870.7821484,19.988,34.81,163.268,221.103
144,100.47,fault_injection,False,False,1776030870.7822645,1776030870.8001552,17.891,34.9,162.262,221.102
145,100.49,fault_injection,False,False,1776030870.8023696,1776030870.8203473,17.978,34.97,161.256,221.102
146,100.44,fault_injection,True,False,1776030870.8224878,1776030870.8420117,19.524,35.03,160.251,221.101
147,100.45,fault_injection,False,False,1776030870.84259,1776030870.8622413,19.651,35.1,159.245,221.1
148,100.46,fault_injection,False,False,1776030870.862697,1776030870.8833625,20.666,35.16,158.239,221.1
149,100.48,fault_injection,False,False,1776030870.8827977,1776030870.9013312,18.533,35.24,157.233,221.099
150,100.18,fault_injection,True,False,1776030870.9028807,1776030870.9214284,18.548,35.31,156.228,221.098
151,100.18,fault_injection,False,False,1776030870.9229798,1776030870.9411907,18.211,35.38,155.222,221.098
152,100.17,fault_injection,False,False,1776030870.9430823,1776030870.970242,27.16,35.38,154.216,221.097
153,100.17,fault_injection,False,False,1776030870.9631786,1776030870.9814193,18.241,35.52,153.211,221.096
154,100.18,fault_injection,False,True,1776030870.9832761,1776030871.203267,219.991,34.01,182.066,221.096
155,100.19,fault_injection,False,False,1776030871.2037115,1776030871.2233918,19.68,34.08,179.436,221.095
156,100.16,fault_injection,False,False,1776030871.2239397,1776030871.243329,19.389,34.14,176.806,221.094
157,100.14,fault_injection,False,False,1776030871.2444136,1776030871.2665682,22.155,34.19,174.176,221.094
158,100.18,fault_injection,False,False,1776030871.2646103,1776030871.2848911,20.281,34.27,171.545,221.093
159,99.25,fault_injection,False,False,1776030871.2848055,1776030871.3068073,22.002,34.32,168.915,221.092
160,99.26,fault_injection,False,False,1776030871.3052545,1776030871.3252773,20.023,34.4,166.285,221.092
161,99.25,fault_injection,False,False,1776030871.3254604,1776030871.3432045,17.744,34.48,165.279,221.091
162,99.26,fault_injection,False,False,1776030871.3456454,1776030871.3651443,19.499,34.53,164.273,221.09
163,99.69,fault_injection,False,False,1776030871.3658133,1776030871.384059,18.246,34.61,163.268,221.09
164,99.7,fault_injection,False,False,1776030871.3859837,1776030871.4041562,18.173,34.67,162.262,221.089
165,99.6,fault_injection,True,True,1776030871.4061313,1776030871.6250188,218.888,33.33,205.737,221.088
166,99.46,fault_injection,True,False,1776030871.626546,1776030871.6462038,19.658,33.39,203.107,221.088
167,99.44,fault_injection,False,False,1776030871.646662,1776030871.6658652,19.203,33.46,200.477,221.087
168,99.49,fault_injection,False,False,1776030871.666806,1776030871.6861103,19.304,33.53,197.846,221.086
169,99.62,fault_injection,True,False,1776030871.6869292,1776030871.7073143,20.385,33.58,195.216,221.086
170,99.6,fault_injection,False,False,1776030871.7070549,1776030871.7256322,18.577,33.66,192.586,221.085
171,99.58,fault_injection,False,False,1776030871.727556,1776030871.744966,17.41,33.73,189.956,221.084
172,99.56,fault_injection,False,False,1776030871.7476842,1776030871.7656195,17.935,33.79,187.326,221.084
173,99.57,fault_injection,False,False,1776030871.7677872,1776030871.7870383,19.251,33.84,184.696,221.083
174,99.56,fault_injection,False,False,1776030871.7879205,1776030871.8070157,19.095,33.9,182.066,221.082
175,99.56,fault_injection,False,False,1776030871.8080418,1776030871.8266556,18.614,33.97,179.435,221.082
176,99.52,fault_injection,False,False,1776030871.8281503,1776030871.8474605,19.31,34.02,176.805,221.081
177,99.42,fault_injection,True,False,1776030871.8482835,1776030871.868032,19.748,34.08,174.175,221.08
178,99.45,fault_injection,False,False,1776030871.8684218,1776030871.886465,18.043,34.15,171.545,221.08
179,99.47,fault_injection,False,True,1776030871.8885264,1776030872.108085,219.558,32.95,218.888,221.079
180,99.48,fault_injection,False,False,1776030872.1088872,1776030872.1292107,20.324,33.01,218.888,221.078
181,99.49,fault_injection,False,False,1776030872.1289957,1776030872.15196,22.964,33.05,216.257,221.078
182,99.54,fault_injection,False,False,1776030872.1491134,1776030872.1677063,18.593,33.14,213.627,221.077
183,99.56,fault_injection,False,True,1776030872.1692514,1776030872.3885977,219.346,32.04,218.89,221.076
184,99.52,fault_injection,False,False,1776030872.390006,1776030872.4077373,17.731,32.1,218.889,221.076
185,100.04,fault_injection,False,False,1776030872.4101593,1776030872.4285636,18.404,32.16,218.889,221.075
186,100.04,fault_injection,False,False,1776030872.4302855,1776030872.4525707,22.285,32.2,218.889,221.074
187,99.99,fault_injection,False,False,1776030872.4503915,1776030872.4693778,18.986,32.28,218.889,221.074
188,100.01,fault_injection,False,True,1776030872.470499,1776030872.6901774,219.678,31.27,219.132,221.073
189,100.02,fault_injection,False,True,1776030872.6908977,1776030872.9110363,220.139,30.32,219.323,221.072
190,99.99,fault_injection,False,False,1776030872.9113004,1776030872.9296741,18.374,30.39,219.32,221.072
191,99.98,fault_injection,False,False,1776030872.931448,1776030872.9496725,18.224,30.45,219.317,221.071
192,99.97,fault_injection,False,False,1776030872.9515622,1776030872.9701703,18.608,30.51,219.315,221.07
193,100.01,fault_injection,False,True,1776030872.9716828,1776030873.1956947,224.012,29.62,219.421,221.333
194,99.02,fault_injection,True,False,1776030873.1923885,1776030873.2112324,18.844,29.7,219.41,221.304
195,99.02,fault_injection,False,False,1776030873.212738,1776030873.2387652,26.027,29.73,219.399,221.276
196,99.0,fault_injection,False,True,1776030873.2333648,1776030873.4525373,219.172,28.94,219.389,221.247
197,98.98,fault_injection,False,False,1776030873.4537597,1776030873.4717286,17.969,29.0,219.378,221.218
198,98.98,fault_injection,True,False,1776030873.4738832,1776030873.4924748,18.592,29.06,219.368,221.189
199,98.96,fault_injection,False,False,1776030873.4939919,1776030873.513002,19.01,29.12,219.357,221.16
200,98.97,fault_injection,False,False,1776030873.514115,1776030873.5318215,17.706,29.19,219.346,221.132
201,98.96,fault_injection,False,False,1776030873.5342772,1776030873.5542634,19.986,29.24,219.344,221.131
202,98.97,fault_injection,False,True,1776030873.5544243,1776030873.7731566,218.732,28.48,219.341,221.13
203,99.01,fault_injection,False,False,1776030873.7748413,1776030873.7959487,21.107,28.53,219.338,221.13
204,99.0,fault_injection,False,False,1776030873.7949872,1776030873.8133817,18.394,28.6,219.336,221.129
205,99.25,fault_injection,False,False,1776030873.8150914,1776030873.8331575,18.066,28.66,219.333,221.128
206,99.26,fault_injection,False,False,1776030873.8351903,1776030873.8534193,18.229,28.72,219.33,221.128
207,99.29,fault_injection,False,False,1776030873.855287,1776030873.873985,18.698,28.77,219.328,221.127
208,99.33,fault_injection,False,False,1776030873.8753955,1776030873.8935294,18.134,28.83,219.325,221.126
209,99.28,fault_injection,False,False,1776030873.8955014,1776030873.913405,17.904,28.89,219.323,221.126
210,99.29,fault_injection,False,False,1776030873.9156098,1776030873.934076,18.466,28.95,219.32,221.125
211,99.29,fault_injection,False,False,1776030873.935717,1776030873.952433,16.716,29.01,219.317,221.124
212,99.3,fault_injection,False,False,1776030873.9558234,1776030873.9746783,18.855,29.06,219.315,221.124
213,99.3,fault_injection,False,False,1776030873.975945,1776030873.9937465,17.802,29.12,219.312,221.123
214,99.26,fault_injection,False,False,1776030873.996074,1776030874.0142958,18.222,29.18,219.309,221.122
215,99.21,fault_injection,False,False,1776030874.0161784,1776030874.0367353,20.557,29.22,219.307,221.122
216,99.2,fault_injection,False,False,1776030874.036278,1776030874.0539253,17.647,29.29,219.304,221.121
217,99.18,fault_injection,False,False,1776030874.0563755,1776030874.0752459,18.87,29.34,219.301,221.12
218,99.45,fault_injection,True,False,1776030874.0764844,1776030874.094426,17.941,29.4,219.299,221.12
219,99.47,fault_injection,False,False,1776030874.0965889,1776030874.1165764,19.988,29.45,219.296,221.119
220,99.48,fault_injection,False,True,1776030874.1167076,1776030874.3373628,220.655,28.73,219.346,221.118
221,99.5,fault_injection,False,False,1776030874.337455,1776030874.3621547,24.7,28.77,219.344,221.118
222,99.51,fault_injection,False,False,1776030874.357677,1776030874.37741,19.733,28.84,219.341,221.117
223,99.5,fault_injection,False,False,1776030874.377827,1776030874.3972378,19.411,28.9,219.338,221.116
224,99.47,fault_injection,False,False,1776030874.3979914,1776030874.416184,18.193,28.95,219.336,221.116
225,99.45,fault_injection,False,False,1776030874.4181325,1776030874.4374325,19.3,29.0,219.333,221.115
226,99.47,fault_injection,False,False,1776030874.4382787,1776030874.4573298,19.051,29.06,219.33,221.114
227,99.45,fault_injection,False,False,1776030874.4583857,1776030874.475669,17.283,29.12,219.328,221.114
228,99.43,fault_injection,False,True,1776030874.4784932,1776030874.6980512,219.558,28.44,219.473,221.113
229,99.41,fault_injection,False,False,1776030874.6988935,1776030874.7176754,18.782,28.49,219.463,221.112
230,99.42,fault_injection,False,False,1776030874.7190418,1776030874.7370868,18.045,28.55,219.452,221.112
231,99.42,fault_injection,False,False,1776030874.7391596,1776030874.7569928,17.833,28.6,219.442,221.111
232,99.42,fault_injection,False,False,1776030874.7592719,1776030874.7779334,18.661,28.65,219.431,221.11
233,99.44,fault_injection,False,False,1776030874.7793772,1776030874.797331,17.954,28.7,219.42,221.11
